ID	所属章节	关卡类型	是否可跳过	敌人头像	敌人配置，格式ID:|数量|功力;…	描述	奖励	推荐功力	战斗名称
703	7	Boss	0	yuelunfawang	705|2|14632410;706|1|14632410;704|1|14632410;703|1|14632410	无耻小贼，居然偷袭，我派可也不是吃素的。	Kongfu|3001|1;Exp_Role|20000;Exp_Kongfu|500	73162051	明教切磋
704	7	Normal	1	mojiao1	705|2|17951252;706|2|17951252;704|1|17951252	魔教众以西域人为主，乍一看都是帅哥美女。	Coin|1000;Exp_Role|21600;Exp_Kongfu|520	89756260	明教切磋
705	7	Normal	1	mojiao2	705|2|22022855;706|1|22022855;704|2|22022855	魔教人人舞一轮弯刀，刀法奇诡，甚是古怪。	Food|55;Exp_Role|22400;Exp_Kongfu|530	110114275	明教切磋
706	7	Boss	0	rilunfawang	705|1|27017956;706|1|27017956;704|2|27017956;702|1|27017956	魔教中人竟练出阴阳互济的刀阵，不可小觑。	Item|2002|1;Exp_Role|23200;Exp_Kongfu|540	135089781	明教切磋
707	7	Normal	1	mojiao1	705|1|33146018;706|2|33146018;704|2|33146018	魔教众不使汉话，莫下重手，说不定在求饶。	Item|1002|500;Exp_Role|25200;Exp_Kongfu|560	165730092	明教切磋
708	7	Normal	1	mojiao2	705|5|40664014	征伐魔教路途太远，干粮不够，夺些酒食先。	Item|1001|500;Exp_Role|26400;Exp_Kongfu|570	203320068	明教切磋
709	7	Boss	0	yuelunfawang	705|2|49887199;706|1|49887199;704|1|49887199;703|1|49887199	魔教众分日月星三部，有三大法王统领。	Arms|304|1;Exp_Role|27600;Exp_Kongfu|580	249435993	明教切磋
710	7	Normal	1	mojiao1	705|2|61202335;706|1|61202335;704|2|61202335	听说月部众只收美女，师兄弟能一饱眼福了。	Coin|1000;Exp_Role|30000;Exp_Kongfu|600	306011675	明教切磋
711	7	Normal	1	mojiao2	705|1|75083907;706|2|75083907;704|2|75083907	日部众体格壮硕，却不是好惹的。	Food|55;Exp_Role|31200;Exp_Kongfu|610	375419537	明教切磋
712	7	Boss	0	rilunfawang	702|1|92114021;705|1|92114021;706|2|92114021;702|1|92114021	魔教关押了许多武林正派，尽力将他们救出。	Kongfu|3002|1;Exp_Role|32400;Exp_Kongfu|620	460570104	明教切磋
713	7	Normal	1	mojiao2	702|1|113006810;706|2|113006810;704|2|113006810	魔教吸人功力，有违天理，将他们尽皆除去。	Item|1002|500;Exp_Role|34800;Exp_Kongfu|640	565034048	明教切磋
714	7	Normal	1	mojiao1	704|5|138638384	前方便是魔教山门所在，警惕妖人邪法。	Item|1001|500;Exp_Role|36000;Exp_Kongfu|650	693191921	明教切磋
715	7	Boss	0	yuelunfawang	704|2|170083570;706|2|170083570;703|1|170083570	黑发虬髯，铁腕金刀，背悬红日，日轮昭昭！	Medicine|104|1;Exp_Role|37200;Exp_Kongfu|660	850417849	明教切磋
716	7	Normal	1	mojiao3	705|1|208660977;706|2|208660977;704|2|208660977	日轮法王指挥星部众来此，击败他们！	Coin|1000;Exp_Role|38400;Exp_Kongfu|670	1043304885	明教切磋
717	7	Normal	1	mojiao3	706|5|255988297	前方寒气蠢蠢，月华清冷，月部众就在前方。	Food|55;Exp_Role|40800;Exp_Kongfu|690	1279941484	明教切磋
718	7	Boss	0	rilunfawang	701|1|314050135;704|2|314050135;705|1|314050135;706|1|314050135	月部众彻底摆开阵势，清影横浮，不可冒进。	Item|2002|1;Exp_Role|42000;Exp_Kongfu|700	1570250677	明教切磋
719	7	Normal	1	mojiao3	705|2|385281237;706|2|385281237;704|1|385281237	星月相环，江河辉映。	Item|1002|500;Exp_Role|43200;Exp_Kongfu|710	1926406183	明教切磋
720	7	Normal	1	mojiao3	706|5|472668579	日月轮转，生生不息。	Item|1001|500;Exp_Role|44400;Exp_Kongfu|720	2363342896	明教切磋
721	7	Boss	0	yuelunfawang	702|1|579876632;703|1|579876632;704|1|579876632;705|1|579876632;706|1|579876632	日月星，法三光；天地人，合三才。	Item|3003|3;Exp_Role|45600;Exp_Kongfu|730	2899383159	明教切磋
722	7	Normal	1	mojiao3	705|1|711401017;706|2|711401017;704|2|711401017	红衣曼舞，青纱摇摇，寒影飘碎，月轮皎皎。	Coin|1000;Exp_Role|46800;Exp_Kongfu|740	3557005087	明教切磋
723	7	Normal	1	mojiao1	704|2|872757031;705|3|872757031	凌空日月，日月法王要同时出手了！	Food|55;Exp_Role|48000;Exp_Kongfu|750	4363785155	明教切磋
724	7	Boss	0	jiaozhu	701|1|1070710906;702|1|1070710906;703|1|1070710906;704|1|1070710906;705|1|1070710906	魔教教主霹雳手段，此战我派必能扬名天下！	Kongfu|3009|1;Exp_Role|50400;Exp_Kongfu|800	5353554530	明教切磋
801	8	Normal	1	shanzei1	9702|5|216574178	逍遥派地处绝壁，不知方法难以到达。	Item|1002|550;Exp_Role|51600;Exp_Kongfu|825	1082870890	逍遥切磋
802	8	Normal	1	shanzei2	9703|5|252869376	前方山下竟有山贼作恶，路见不平拔刀相助！	Item|1001|550;Exp_Role|52800;Exp_Kongfu|850	1264346880	逍遥切磋
803	8	Boss	0	shanzeiboss	9701|1|295247208;9702|1|295247208;9703|2|295247208;804|1|295247208	好山贼，居然见势不妙逃了，快追！	Kongfu|3003|1;Exp_Role|54000;Exp_Kongfu|875	1476236039	逍遥切磋
804	8	Normal	1	xiaoyao1	804|1|344727049;9702|2|344727049;9703|2|344727049	山贼之中竟有一名白衣人，多加小心！	Coin|1200;Exp_Role|56400;Exp_Kongfu|925	1723635244	逍遥切磋
805	8	Normal	1	xiaoyao1	804|1|402499109;9701|1|402499109;9702|1|402499109;9703|2|402499109	白衣人是逍遥派的弃徒，抓住问出逍遥所在。	Food|60;Exp_Role|57600;Exp_Kongfu|950	2012495547	逍遥切磋
806	8	Boss	0	xuannv	804|2|469953065;805|2|469953065;803|1|469953065	逍遥派门下出手不像武功，倒像道法了。	Item|2002|1;Exp_Role|58800;Exp_Kongfu|975	2349765323	逍遥切磋
807	8	Normal	1	xiaoyao1	804|4|548711482;805|1|548711482	找对地方了，这里果然有逍遥弟子在守卫。	Item|1002|550;Exp_Role|61200;Exp_Kongfu|1025	2743557412	逍遥切磋
808	8	Normal	1	xiaoyao2	804|2|640668853;805|3|640668853	逍遥派掌握了合击之术，聚多人功力御敌。	Item|1001|550;Exp_Role|62400;Exp_Kongfu|1050	3203344265	逍遥切磋
809	8	Boss	0	xiantong	804|1|748037160;805|2|748037160;802|2|748037160	逍遥派功法奇特，真气外放，三丈外御敌。	Armor|701|1;Exp_Role|63600;Exp_Kongfu|1075	3740185802	逍遥切磋
810	8	Normal	1	xiaoyao3	804|2|873399090;805|3|873399090	逍遥派的精英居然乘鹤而来，无愧逍遥。	Coin|1200;Exp_Role|66000;Exp_Kongfu|1125	4366995452	逍遥切磋
811	8	Normal	1	xiaoyao3	806|5|1019770155	“仙鹤”居然是锁链上的白布，装神弄鬼。	Food|60;Exp_Role|67200;Exp_Kongfu|1150	5098850775	逍遥切磋
812	8	Boss	0	xuannv	804|1|1190671230;805|2|1190671230;806|1|1190671230;803|1|1190671230	九牛二虎之力，终于看见逍遥派的山门了。	Kongfu|3004|1;Exp_Role|68400;Exp_Kongfu|1175	5953356149	逍遥切磋
813	8	Normal	1	xiaoyao2	804|2|1390213246;805|2|1390213246;806|1|1390213246	逍遥弟子招收弟子以美为标准，怎有胖哥儿？	Item|1002|550;Exp_Role|70800;Exp_Kongfu|1225	6951066230	逍遥切磋
814	8	Normal	1	xiaoyao3	804|2|1623196077;805|1|1623196077;806|2|1623196077	胖弟子好强，再去过过招，将底细探查清楚。	Item|1001|550;Exp_Role|72000;Exp_Kongfu|1250	8115980386	逍遥切磋
815	8	Boss	0	xiantong	802|1|1895223997;804|1|1895223997;805|2|1895223997;802|1|1895223997	看来他们要亮真招了，速速避其锋芒。	Medicine|104|1;Exp_Role|73200;Exp_Kongfu|1275	9476119986	逍遥切磋
816	8	Normal	1	xiaoyao3	802|1|2212840488;805|2|2212840488;806|2|2212840488	其他弟子将功力聚于胖弟子身上，端的生猛。	Coin|1200;Exp_Role|74400;Exp_Kongfu|1300	11064202440	逍遥切磋
817	8	Normal	1	xiaoyao2	803|1|2583685640;804|2|2583685640;805|2|2583685640	最后一阵，师兄弟尽管出手，掌门随后就到。	Food|60;Exp_Role|76800;Exp_Kongfu|1350	12918428198	逍遥切磋
818	8	Boss	0	xuannv	804|1|3016679928;805|2|3016679928;806|1|3016679928;803|1|3016679928	一阵青光照过，逍遥派弟子恢复如初。	Item|2002|1;Exp_Role|78000;Exp_Kongfu|1375	15083399641	逍遥切磋
819	8	Normal	1	xiaoyao3	804|3|3522238793;805|2|3522238793	我们好生休息，强敌一会就来。	Item|1002|550;Exp_Role|79200;Exp_Kongfu|1400	17611193965	逍遥切磋
820	8	Normal	1	xiaoyao1	804|1|4112523175;805|2|4112523175;806|2|4112523175	咦，这次居然真骑了仙鹤过来，还是个童子。	Item|1001|550;Exp_Role|80400;Exp_Kongfu|1425	20562615873	逍遥切磋
821	8	Boss	0	xiantong	802|1|4801732039;804|1|4801732039;805|2|4801732039;802|1|4801732039	好厉害的仙童，千万不能小看了。	Item|3003|5;Exp_Role|81600;Exp_Kongfu|1450	24008660196	逍遥切磋
822	8	Normal	1	xiaoyao3	803|1|5606443927;805|2|5606443927;806|2|5606443927	先是仙童，尔后是仙女，莫非真是神仙庙？	Coin|1200;Exp_Role|82800;Exp_Kongfu|1475	28032219634	逍遥切磋
823	8	Normal	1	xiaoyao2	804|2|6546015739;805|2|6546015739;806|1|6546015739	这玄女白日飞天了，难道真是天上神仙下凡？	Food|60;Exp_Role|84000;Exp_Kongfu|1500	32730078696	逍遥切磋
824	8	Boss	0	xiaoyaozi	801|1|7643048364;805|2|7643048364;806|2|7643048364	管他真假仙人，都要在我派手下跌落凡尘。	Kongfu|3009|1;Exp_Role|86400;Exp_Kongfu|1550	38215241820	逍遥切磋
